chunk_id,doc_id,titulo,categoria,prioridade,url,config_id,chunk_size,chunk_overlap,ordem_chunk,qtd_caracteres_chunk,texto_chunk
DOC001_C1_0001,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C1,500,100,1,500,"Serviços - FEI
Secretaria
Na área de secretaria, você pode ter mais informações sobre questões administrativas da vida acadêmica.
Selecione no menu ao lado as informações que necessita!
Confira a página da Secretaria →
Esporte e Lazer
A FEI disponibiliza aos seus alunos e colaboradores um magnífico Centro de Vivência Desportiva, Recreação
e Lazer.
Conheça a nossa estrutura →
Biblioteca
A Biblioteca da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,
periódicos, m"
DOC001_C1_0002,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C1,500,100,2,500,"a da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,
periódicos, multimeios, além da Biblioteca Digital de Teses e Dissertações.
Conheça a nossa biblioteca →
Estágio e Emprego
O SESEM oferece ao aluno uma série de oportunidades para atuar como estagiário, trainee ou mesmo empregado
de grandes empresas nacionais e multinacionais.
Acesse o setor de estágio e emprego →
Setor de Bolsas de Graduação
Conheça as opções de financiamento
estudantil oferecidas pela FEI.
C"
DOC001_C1_0003,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C1,500,100,3,128,"→
Setor de Bolsas de Graduação
Conheça as opções de financiamento
estudantil oferecidas pela FEI.
Consulte as opções de bolsas →"
DOC001_C2_0001,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C2,800,150,1,800,"Serviços - FEI
Secretaria
Na área de secretaria, você pode ter mais informações sobre questões administrativas da vida acadêmica.
Selecione no menu ao lado as informações que necessita!
Confira a página da Secretaria →
Esporte e Lazer
A FEI disponibiliza aos seus alunos e colaboradores um magnífico Centro de Vivência Desportiva, Recreação
e Lazer.
Conheça a nossa estrutura →
Biblioteca
A Biblioteca da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,
periódicos, multimeios, além da Biblioteca Digital de Teses e Dissertações.
Conheça a nossa biblioteca →
Estágio e Emprego
O SESEM oferece ao aluno uma série de oportunidades para atuar como estagiário, trainee ou mesmo empregado
de grandes empresas nacionais e multinacionais.
Acesse o setor de estágio e emprego"
DOC001_C2_0002,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C2,800,150,2,279,"ortunidades para atuar como estagiário, trainee ou mesmo empregado
de grandes empresas nacionais e multinacionais.
Acesse o setor de estágio e emprego →
Setor de Bolsas de Graduação
Conheça as opções de financiamento
estudantil oferecidas pela FEI.
Consulte as opções de bolsas →"
DOC001_C3_0001,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C3,1200,200,1,929,"Serviços - FEI
Secretaria
Na área de secretaria, você pode ter mais informações sobre questões administrativas da vida acadêmica.
Selecione no menu ao lado as informações que necessita!
Confira a página da Secretaria →
Esporte e Lazer
A FEI disponibiliza aos seus alunos e colaboradores um magnífico Centro de Vivência Desportiva, Recreação
e Lazer.
Conheça a nossa estrutura →
Biblioteca
A Biblioteca da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,
periódicos, multimeios, além da Biblioteca Digital de Teses e Dissertações.
Conheça a nossa biblioteca →
Estágio e Emprego
O SESEM oferece ao aluno uma série de oportunidades para atuar como estagiário, trainee ou mesmo empregado
de grandes empresas nacionais e multinacionais.
Acesse o setor de estágio e emprego →
Setor de Bolsas de Graduação
Conheça as opções de financiamento
estudantil oferecidas pela FEI.
Consulte as opções de bolsas →"
DOC002_C1_0001,DOC002,Secretaria,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/secretaria,C1,500,100,1,500,"Secretaria FEI: Campus São Paulo e São Bernardo do Campo
Secretaria
Na área de secretaria, você pode ter mais informações sobre questões administrativas da vida acadêmica. Confira abaixo os horários de atendimento das secretarias e canais de contato.
Campus São Bernardo do campo
Graduação
Horário de Atendimento
Segunda a sexta - feira das 8h30 até 21h00
Sábado 8h30 até 11h00
Contato: (11) 4353-2903
Local
Prédio A - Térreo
Pós-Graduação Lato Sensu
Horário de Atendimento
Segunda a Sexta-feira, das"
DOC002_C1_0002,DOC002,Secretaria,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/secretaria,C1,500,100,2,500,"3
Local
Prédio A - Térreo
Pós-Graduação Lato Sensu
Horário de Atendimento
Segunda a Sexta-feira, das 12h às 21h - Férias de Julho e Janeiro
Contato
E-mail: iecat@fei.edu.br
Tel: (11) 4353-2909
Local
Prédio T - Térreo
Pós-Graduação Stricto Sensu
Horário de Atendimento
Segunda a Sexta-feira, das 08h às 19h45
Contato
Tel: (11) 4353-2910
Programas
Mestrado e Doutorado em Engenharia Elétrica - ppge@fei.edu.br
Mestrado em Engenharia Mecânica - ppgm@fei.edu.br
Mestrado em Engenharia Química - ppgq@fei."
DOC002_C1_0003,DOC002,Secretaria,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/secretaria,C1,500,100,3,500,".edu.br
Mestrado em Engenharia Mecânica - ppgm@fei.edu.br
Mestrado em Engenharia Química - ppgq@fei.edu.br
Local
Prédio k – 5º Andar
Campus São Paulo
Graduação
Horário de Atendimento
Segunda a sexta-feira das 8h30 até 20h30 Campus São Paulo
Em período de férias: Segunda a sexta-feira das 8h12 até 18h00 – (janeiro e início de fevereiro e julho e início de agosto)
Contato
Telefone: (11) 4353-2903
Local
5º Andar - Lado A
Pós-Graduação Lato Sensu
Horário de Atendimento
Segunda a Sexta-feira, das 08h"
DOC002_C1_0004,DOC002,Secretaria,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/secretaria,C1,500,100,4,500,"cal
5º Andar - Lado A
Pós-Graduação Lato Sensu
Horário de Atendimento
Segunda a Sexta-feira, das 08h30 às 21h30
Contato
E-mail: iecat@fei.edu.br
(11) 4353-2909
Pós-Graduação Stricto Sensu
Horário de Atendimento
Segunda a Sexta-feira, das 8h30 às 18h - Férias de Julho e Janeiro
Contato
E-mail: ppga@fei.edu.br | Tel: (11) 3274-5205
Programa
Mestrado e Doutorado em Administração
E-mail: ppga@fei.edu.br
Matrículas
Graduação
Especialização
Mestrado / Doutorado
Graduação
Informações sobre matrícula:
P"
