id,titulo,categoria,tipo_documento,origem,url,data_acesso,status_validacao,caminho_html,caminho_texto,observacoes
DOC001,"FEI: nota máxima no MEC - Administração, Ciência da Computação e Engenharia.",A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br,2026-08-02,Pendente,documentos/html_bruto\DOC001_fei_nota_m_xima_no_mec_administra_o_ci_ncia_da_computa_o_e_e.html,documentos/textos_limpos\DOC001_fei_nota_m_xima_no_mec_administra_o_ci_ncia_da_computa_o_e_e.txt,Coleta inicial por scraping com BeautifulSoup
DOC002,Pós-Graduação,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/Pagina/pos-graduacao,2026-08-02,Pendente,documentos/html_bruto\DOC002_p_s_gradua_o.html,documentos/textos_limpos\DOC002_p_s_gradua_o.txt,Coleta inicial por scraping com BeautifulSoup
DOC003,Ações Sociais de Extensão,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/acoes-sociais-de-extensao,2026-08-02,Pendente,documentos/html_bruto\DOC003_a_es_sociais_de_extens_o.html,documentos/textos_limpos\DOC003_a_es_sociais_de_extens_o.txt,Coleta inicial por scraping com BeautifulSoup
DOC004,FEI AeroDesign,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/aerodesign,2026-08-02,Pendente,documentos/html_bruto\DOC004_fei_aerodesign.html,documentos/textos_limpos\DOC004_fei_aerodesign.txt,Coleta inicial por scraping com BeautifulSoup
DOC005,American Institute of Chemical Engineers (AIChE) - FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/aiche-fei,2026-08-02,Pendente,documentos/html_bruto\DOC005_american_institute_of_chemical_engineers_aiche_fei.html,documentos/textos_limpos\DOC005_american_institute_of_chemical_engineers_aiche_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC006,Alumni,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/alumni,2026-08-02,Pendente,documentos/html_bruto\DOC006_alumni.html,documentos/textos_limpos\DOC006_alumni.txt,Coleta inicial por scraping com BeautifulSoup
DOC007,Atlética,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/atletica,2026-08-02,Pendente,documentos/html_bruto\DOC007_atl_tica.html,documentos/textos_limpos\DOC007_atl_tica.txt,Coleta inicial por scraping com BeautifulSoup
DOC008,Avaliações Institucionais,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/avaliacoes-institucionais,2026-08-02,Pendente,documentos/html_bruto\DOC008_avalia_es_institucionais.html,documentos/textos_limpos\DOC008_avalia_es_institucionais.txt,Coleta inicial por scraping com BeautifulSoup
DOC009,Biblioteca - FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/biblioteca,2026-08-02,Pendente,documentos/html_bruto\DOC009_biblioteca_fei.html,documentos/textos_limpos\DOC009_biblioteca_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC010,Bolsas de Estudo de Graduação,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/bolsas-de-estudo-de-graduacao,2026-08-02,Pendente,documentos/html_bruto\DOC010_bolsas_de_estudo_de_gradua_o.html,documentos/textos_limpos\DOC010_bolsas_de_estudo_de_gradua_o.txt,Coleta inicial por scraping com BeautifulSoup
DOC011,Bolsistas de Produtividade em Pesquisa-CNPq,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/bolsistas-de-produtividade-em-pesquisa-cnpq,2026-08-02,Pendente,documentos/html_bruto\DOC011_bolsistas_de_produtividade_em_pesquisa_cnpq.html,documentos/textos_limpos\DOC011_bolsistas_de_produtividade_em_pesquisa_cnpq.txt,Coleta inicial por scraping com BeautifulSoup
DOC012,Campus - São Bernardo FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/campus-sao-bernardo-do-campo,2026-08-02,Pendente,documentos/html_bruto\DOC012_campus_s_o_bernardo_fei.html,documentos/textos_limpos\DOC012_campus_s_o_bernardo_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC013,Centro Universitário da FEI em São Paulo,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/campus-sao-paulo,2026-08-02,Pendente,documentos/html_bruto\DOC013_centro_universit_rio_da_fei_em_s_o_paulo.html,documentos/textos_limpos\DOC013_centro_universit_rio_da_fei_em_s_o_paulo.txt,Coleta inicial por scraping com BeautifulSoup
DOC014,Curso de Ciência da Computação -  Faculdade FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/ciencia-da-computacao,2026-08-02,Pendente,documentos/html_bruto\DOC014_curso_de_ci_ncia_da_computa_o_faculdade_fei.html,documentos/textos_limpos\DOC014_curso_de_ci_ncia_da_computa_o_faculdade_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC015,Ciência de Dados e Inteligência Artificial,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/ciencia-de-dados-e-inteligencia-artificial,2026-08-02,Pendente,documentos/html_bruto\DOC015_ci_ncia_de_dados_e_intelig_ncia_artificial.html,documentos/textos_limpos\DOC015_ci_ncia_de_dados_e_intelig_ncia_artificial.txt,Coleta inicial por scraping com BeautifulSoup
DOC016,Departamento de Ciências Sociais e Jurídicas - FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/ciencias-sociais-e-juridicas,2026-08-02,Pendente,documentos/html_bruto\DOC016_departamento_de_ci_ncias_sociais_e_jur_dicas_fei.html,documentos/textos_limpos\DOC016_departamento_de_ci_ncias_sociais_e_jur_dicas_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC017,Clube Estudantil,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/clube-estudantil,2026-08-02,Pendente,documentos/html_bruto\DOC017_clube_estudantil.html,documentos/textos_limpos\DOC017_clube_estudantil.txt,Coleta inicial por scraping com BeautifulSoup
DOC018,Equipe Concreto - FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/concreto-fei,2026-08-02,Pendente,documentos/html_bruto\DOC018_equipe_concreto_fei.html,documentos/textos_limpos\DOC018_equipe_concreto_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC019,Consulta de Currículos,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/consulta-curriculos,2026-08-02,Pendente,documentos/html_bruto\DOC019_consulta_de_curr_culos.html,documentos/textos_limpos\DOC019_consulta_de_curr_culos.txt,Coleta inicial por scraping com BeautifulSoup
DOC020,Consulta de Diplomas (Graduação),A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/consulta-diplomas-graduacao,2026-08-02,Pendente,documentos/html_bruto\DOC020_consulta_de_diplomas_gradua_o.html,documentos/textos_limpos\DOC020_consulta_de_diplomas_gradua_o.txt,Coleta inicial por scraping com BeautifulSoup
DOC021,Corpo Diretivo - FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/corpo-diretivo,2026-08-02,Pendente,documentos/html_bruto\DOC021_corpo_diretivo_fei.html,documentos/textos_limpos\DOC021_corpo_diretivo_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC022,Corpo Docente da FEI: Conheça Nossos Professores,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/corpo-docente-da-fei,2026-08-02,Pendente,documentos/html_bruto\DOC022_corpo_docente_da_fei_conhe_a_nossos_professores.html,documentos/textos_limpos\DOC022_corpo_docente_da_fei_conhe_a_nossos_professores.txt,Coleta inicial por scraping com BeautifulSoup
DOC023,Crédito Educativo para Pós-graduação,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/credito-educativo-para-pos-graduacao,2026-08-02,Pendente,documentos/html_bruto\DOC023_cr_dito_educativo_para_p_s_gradua_o.html,documentos/textos_limpos\DOC023_cr_dito_educativo_para_p_s_gradua_o.txt,Coleta inicial por scraping com BeautifulSoup
DOC024,Cursinho Gratuito - FEI São Bernardo do Campo,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/cursinho-fei,2026-08-02,Pendente,documentos/html_bruto\DOC024_cursinho_gratuito_fei_s_o_bernardo_do_campo.html,documentos/textos_limpos\DOC024_cursinho_gratuito_fei_s_o_bernardo_do_campo.txt,Coleta inicial por scraping com BeautifulSoup
DOC025,Curso de Administração -  Faculdade FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/curso-de-administracao,2026-08-02,Pendente,documentos/html_bruto\DOC025_curso_de_administra_o_faculdade_fei.html,documentos/textos_limpos\DOC025_curso_de_administra_o_faculdade_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC026,Curso de Engenharia de Robôs -  Faculdade FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/curso-de-engenharia-de-robos,2026-08-02,Pendente,documentos/html_bruto\DOC026_curso_de_engenharia_de_rob_s_faculdade_fei.html,documentos/textos_limpos\DOC026_curso_de_engenharia_de_rob_s_faculdade_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC027,Departamento de Física - FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/departamento-de-fisica,2026-08-02,Pendente,documentos/html_bruto\DOC027_departamento_de_f_sica_fei.html,documentos/textos_limpos\DOC027_departamento_de_f_sica_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC028,Departamento de Matemática - FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/departamento-de-matematica,2026-08-02,Pendente,documentos/html_bruto\DOC028_departamento_de_matem_tica_fei.html,documentos/textos_limpos\DOC028_departamento_de_matem_tica_fei.txt,Coleta inicial por scraping com BeautifulSoup
DOC029,Diploma Digital,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/diploma-digital,2026-08-02,Pendente,documentos/html_bruto\DOC029_diploma_digital.html,documentos/textos_limpos\DOC029_diploma_digital.txt,Coleta inicial por scraping com BeautifulSoup
DOC030,Qualificações e Acompanhamento - Iniciação Científica - FEI,A classificar,HTML,Portal institucional FEI,https://portal.fei.edu.br/documentos-iniciacao,2026-08-02,Pendente,documentos/html_bruto\DOC030_qualifica_es_e_acompanhamento_inicia_o_cient_fica_fei.html,documentos/textos_limpos\DOC030_qualifica_es_e_acompanhamento_inicia_o_cient_fica_fei.txt,Coleta inicial por scraping com BeautifulSoup
