id,titulo,url,categoria_sugerida,status_curadoria,prioridade,responsavel_validacao,observacoes,data_mapeamento
LINK001,"FEI: nota máxima no MEC - Administração, Ciência da Computação e Engenharia.",https://portal.fei.edu.br,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK002,Pós-Graduação,https://portal.fei.edu.br/Pagina/pos-graduacao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK003,Ações Sociais de Extensão,https://portal.fei.edu.br/acoes-sociais-de-extensao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK004,FEI AeroDesign,https://portal.fei.edu.br/aerodesign,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK005,American Institute of Chemical Engineers (AIChE) - FEI,https://portal.fei.edu.br/aiche-fei,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK006,Alumni,https://portal.fei.edu.br/alumni,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK007,Atlética,https://portal.fei.edu.br/atletica,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK008,Avaliações Institucionais,https://portal.fei.edu.br/avaliacoes-institucionais,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK009,Biblioteca - FEI,https://portal.fei.edu.br/biblioteca,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK010,Bolsas de Estudo de Graduação,https://portal.fei.edu.br/bolsas-de-estudo-de-graduacao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK011,Bolsistas de Produtividade em Pesquisa-CNPq,https://portal.fei.edu.br/bolsistas-de-produtividade-em-pesquisa-cnpq,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK012,Campus - São Bernardo FEI,https://portal.fei.edu.br/campus-sao-bernardo-do-campo,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK013,Centro Universitário da FEI em São Paulo,https://portal.fei.edu.br/campus-sao-paulo,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK014,Curso de Ciência da Computação -  Faculdade FEI,https://portal.fei.edu.br/ciencia-da-computacao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK015,Ciência de Dados e Inteligência Artificial,https://portal.fei.edu.br/ciencia-de-dados-e-inteligencia-artificial,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK016,Departamento de Ciências Sociais e Jurídicas - FEI,https://portal.fei.edu.br/ciencias-sociais-e-juridicas,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK017,Clube Estudantil,https://portal.fei.edu.br/clube-estudantil,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK018,Equipe Concreto - FEI,https://portal.fei.edu.br/concreto-fei,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK019,Consulta de Currículos,https://portal.fei.edu.br/consulta-curriculos,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK020,Consulta de Diplomas (Graduação),https://portal.fei.edu.br/consulta-diplomas-graduacao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK021,Corpo Diretivo - FEI,https://portal.fei.edu.br/corpo-diretivo,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK022,Corpo Docente da FEI: Conheça Nossos Professores,https://portal.fei.edu.br/corpo-docente-da-fei,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK023,Crédito Educativo para Pós-graduação,https://portal.fei.edu.br/credito-educativo-para-pos-graduacao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK024,Cursinho Gratuito - FEI São Bernardo do Campo,https://portal.fei.edu.br/cursinho-fei,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK025,Curso de Administração -  Faculdade FEI,https://portal.fei.edu.br/curso-de-administracao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK026,Curso de Engenharia de Robôs -  Faculdade FEI,https://portal.fei.edu.br/curso-de-engenharia-de-robos,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK027,Departamento de Física - FEI,https://portal.fei.edu.br/departamento-de-fisica,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK028,Departamento de Matemática - FEI,https://portal.fei.edu.br/departamento-de-matematica,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK029,Diploma Digital,https://portal.fei.edu.br/diploma-digital,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK030,Qualificações e Acompanhamento - Iniciação Científica - FEI,https://portal.fei.edu.br/documentos-iniciacao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK031,Faculdade de Engenharia Civil -  FEI,https://portal.fei.edu.br/engenharia-civil,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK032,Curso de Engenharia de Automação e Controle -  Faculdade FEI,https://portal.fei.edu.br/engenharia-de-automacao-e-controle,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK033,Faculdade de Engenharia de Produção - FEI,https://portal.fei.edu.br/engenharia-de-producao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK034,Curso de Engenharia Elétrica - Faculdade FEI,https://portal.fei.edu.br/engenharia-eletrica,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK035,Curso de Engenharia Mecânica -  Faculdade FEI,https://portal.fei.edu.br/engenharia-mecanica,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK036,Faculdade de Engenharia Química -  FEI,https://portal.fei.edu.br/engenharia-quimica,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK037,Esporte e Lazer,https://portal.fei.edu.br/esporte-e-lazer,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK038,Setor de Estágios e Empregos - FEI,https://portal.fei.edu.br/estagio-e-emprego,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK039,Fale Conosco,https://portal.fei.edu.br/fale-conosco,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK040,FEI Baja,https://portal.fei.edu.br/fei-baja,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK041,Compósitos Avançados (SAMPE) - FEI,https://portal.fei.edu.br/fei-de-compositos-avancados-sampe,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK042,Fórmula FEI,https://portal.fei.edu.br/formula-fei,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK043,Fórmula FEI Elétrico,https://portal.fei.edu.br/formula-fei-eletrico,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK044,Fretados,https://portal.fei.edu.br/fretados,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK045,Conheça Nossos Cursos de Graduação -  Faculdade FEI,https://portal.fei.edu.br/graduacao,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK046,Conheça Nossa História - FEI,https://portal.fei.edu.br/historia-da-fei,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK047,In Company,https://portal.fei.edu.br/in-company,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK048,INCT - Física Nuclear e Aplicações,https://portal.fei.edu.br/inct-fna,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK049,Programa de Iniciação Científica (PIBIC) - FEI,https://portal.fei.edu.br/iniciacao-cientifica,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK050,Programa de Iniciação Didática (PROBID) - FEI,https://portal.fei.edu.br/iniciacao-didatica,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
LINK051,Programa de Iniciação Tecnológica e de Inovação - FEI,https://portal.fei.edu.br/iniciacao-tecnologica,Serviços ao aluno / Administrativo,A avaliar,,,,2026-08-02
