tema,qtd_paginas,total_palavras,media_palavras_por_pagina,maior_score,pagina_maior_score,url_pagina_maior_score,observacao_curadoria
Graduação / Ingresso / Cursos,35,123215,3520.43,346,Avaliações Institucionais,https://portal.fei.edu.br/avaliacoes-institucionais,
Projetos / Entidades / Extensão,8,31969,3996.12,215,Curso de Engenharia de Robôs -  Faculdade FEI,https://portal.fei.edu.br/curso-de-engenharia-de-robos,
Pesquisa / Iniciação / Pós-graduação,11,10792,981.09,93,Incrições PIBIC CNPq - FEI,https://portal.fei.edu.br/inscricoes-pibic-cnpq,
Serviços ao aluno / Administrativo,9,8372,930.22,91,Biblioteca - FEI,https://portal.fei.edu.br/biblioteca,
Institucional,5,5281,1056.2,63,Centro Universitário da FEI em São Paulo,https://portal.fei.edu.br/campus-sao-paulo,
Documentos e validações,5,3295,659.0,404,Corpo Docente da FEI: Conheça Nossos Professores,https://portal.fei.edu.br/corpo-docente-da-fei,
Financeiro / Bolsas,2,2166,1083.0,48,Bolsas de Estudo de Graduação,https://portal.fei.edu.br/bolsas-de-estudo-de-graduacao,
Notícias / Eventos,3,1055,351.67,20,Notícias - Página Principal,https://portal.fei.edu.br/noticias,
Estágio e emprego,2,293,146.5,17,Setor de Estágios e Empregos - FEI,https://portal.fei.edu.br/estagio-e-emprego,
Sem tema identificado,1,19,19.0,0,,,
Erro na análise,3,0,0.0,0,,,
